Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,671","3,179","3,043","3,348","3,579","2,856","4,001","4,662","5,268","3,807","4,292","4,731","5,013"
Expenses+,"2,931","2,600","2,666","2,592","2,491","1,935","2,469","2,351","2,525","2,329","2,370","2,558","2,663"
Operating Profit,740,579,378,756,"1,088",921,"1,533","2,311","2,743","1,478","1,923","2,173","2,349"
OPM %,20%,18%,12%,23%,30%,32%,38%,50%,52%,39%,45%,46%,47%
Other Income+,55,48,69,50,511,61,72,99,126,124,151,194,202
Interest,1,2,4,2,9,3,4,19,32,8,8,60,24
Depreciation,255,170,186,154,240,174,180,286,88,178,174,182,211
Profit before tax,539,455,256,650,"1,350",804,"1,420","2,105","2,748","1,415","1,892","2,126","2,316"
Tax %,8%,27%,27%,28%,26%,27%,26%,26%,25%,26%,24%,25%,26%
Net Profit+,495,334,187,471,997,588,"1,046","1,566","2,067","1,049","1,430","1,595","1,722"
EPS in Rs,2.70,1.82,1.02,2.56,5.43,3.20,5.70,8.53,11.26,5.71,7.79,8.69,9.38
Raw PDF,,,,,,,,,,,,,
