Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,361","3,252","3,276","3,338","3,412","3,422","3,536","3,561","3,710","3,732","3,902","4,003","4,243"
Expenses+,"2,763","2,665","2,681","2,737","2,773","2,804","2,888","2,883","3,007","3,030","3,180","3,252","3,439"
Operating Profit,599,587,596,601,639,619,648,678,703,703,722,750,804
OPM %,18%,18%,18%,18%,19%,18%,18%,19%,19%,19%,18%,19%,19%
Other Income+,43,50,49,54,64,74,59,63,60,81,75,27,108
Interest,24,24,34,53,50,50,40,39,36,42,44,41,77
Depreciation,83,87,89,103,131,105,104,132,135,132,128,143,153
Profit before tax,534,526,522,499,522,537,563,569,591,610,625,593,681
Tax %,24%,25%,25%,25%,25%,25%,25%,25%,24%,28%,25%,25%,25%
Net Profit+,405,396,392,374,393,405,423,428,446,442,469,442,510
EPS in Rs,21.51,21.01,20.78,19.79,20.81,21.39,22.37,22.56,23.49,23.22,24.65,23.21,26.71
Raw PDF,,,,,,,,,,,,,
