Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,381","1,182","1,224","1,195","1,440","1,195","1,224","1,415","1,720","1,570","1,653","1,778","1,812"
Expenses+,"1,095","1,015","1,037","1,014","1,198","1,024","1,045","1,130","1,300","1,187","1,250","1,298","1,299"
Operating Profit,286,167,188,181,241,171,178,285,421,382,403,480,512
OPM %,21%,14%,15%,15%,17%,14%,15%,20%,24%,24%,24%,27%,28%
Other Income+,2,4,2,2,19,3,5,9,59,10,27,6,12
Interest,53,39,42,51,50,49,53,58,56,52,40,39,40
Depreciation,87,91,93,98,102,106,108,106,110,117,120,121,122
Profit before tax,147,41,54,35,107,18,23,131,312,224,270,327,361
Tax %,27%,30%,27%,27%,30%,34%,22%,31%,25%,28%,28%,22%,22%
Net Profit+,105,27,37,23,75,13,20,93,233,162,194,252,282
EPS in Rs,1.91,0.46,0.69,0.43,1.40,0.23,0.37,1.71,4.33,3.02,3.61,4.66,5.17
Raw PDF,,,,,,,,,,,,,
