Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"13,692","12,588","12,250","11,701","13,487","13,618","11,213","11,751","13,183","12,294","11,686","13,027","16,218"
Expenses+,"11,505","9,960","9,965","8,859","11,042","10,779","9,013","9,567","10,922","9,289","9,605","11,398","13,289"
Operating Profit,"2,187","2,628","2,285","2,843","2,444","2,839","2,200","2,184","2,262","3,006","2,081","1,629","2,929"
OPM %,16%,21%,19%,24%,18%,21%,20%,19%,17%,24%,18%,13%,18%
Other Income+,-138,55,32,35,35,34,35,26,"-1,158",30,22,-45,-550
Interest,371,329,329,315,321,332,326,313,342,297,371,406,442
Depreciation,873,588,604,636,995,683,696,698,691,722,750,839,862
Profit before tax,805,"1,767","1,384","1,927","1,164","1,859","1,213","1,199",72,"2,018",982,339,"1,074"
Tax %,42%,4%,-0%,-0%,20%,28%,29%,21%,523%,26%,35%,44%,3%
Net Profit+,466,"1,692","1,390","1,928",933,"1,338",860,951,-304,"1,496",635,189,"1,041"
EPS in Rs,4.53,16.54,13.60,18.90,9.17,13.14,8.44,9.32,-3.33,14.65,6.26,1.87,10.24
Raw PDF,,,,,,,,,,,,,
