Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,491","2,591","2,660","2,732","2,745","2,859","2,889","2,809","2,959","3,178","3,302","3,303","4,197"
Expenses+,"1,764","1,800","1,835","1,863","1,862","1,955","1,950","1,895","1,995","2,146","2,219","2,215","2,841"
Operating Profit,727,791,825,869,883,904,939,914,964,"1,032","1,083","1,088","1,356"
OPM %,29%,31%,31%,32%,32%,32%,32%,33%,33%,32%,33%,33%,32%
Other Income+,9,34,26,55,31,24,-16,33,-42,-37,-40,-23,-83
Interest,107,103,91,80,80,75,64,57,56,56,48,45,236
Depreciation,196,191,201,213,203,197,198,199,201,201,204,206,508
Profit before tax,433,531,559,631,631,656,661,691,665,738,791,814,529
Tax %,34%,29%,31%,30%,29%,30%,31%,27%,25%,26%,25%,22%,31%
Net Profit+,287,378,386,443,449,457,453,503,498,548,591,635,364
EPS in Rs,8.48,11.17,11.41,13.09,13.27,13.50,13.38,14.86,14.71,16.19,17.46,18.76,10.76
Raw PDF,,,,,,,,,,,,,
