Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,215","1,285","1,363","1,335","1,423","1,543","1,707","1,868","1,910","2,028","2,135","2,068","2,143"
Expenses+,874,948,976,949,"1,041","1,156","1,257","1,369","1,398","1,505","1,560","1,529","1,536"
Operating Profit,340,337,387,386,382,387,451,499,512,523,575,538,606
OPM %,28%,26%,28%,29%,27%,25%,26%,27%,27%,26%,27%,26%,28%
Other Income+,40,41,45,46,45,35,41,-40,47,37,33,-3,48
Interest,20,19,9,11,21,24,34,52,55,55,54,60,67
Depreciation,60,56,58,61,70,77,84,98,101,104,108,111,123
Profit before tax,301,303,366,360,336,321,374,309,402,400,446,365,465
Tax %,17%,21%,24%,20%,25%,26%,25%,23%,21%,23%,-10%,17%,26%
Net Profit+,251,240,277,289,252,236,282,239,319,308,491,301,342
EPS in Rs,2.58,2.47,2.85,2.98,2.59,2.43,2.90,2.46,3.28,3.17,5.05,3.09,3.52
Raw PDF,,,,,,,,,,,,,
