Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"6,753","7,076","7,132","7,199","7,193","7,383","7,465","7,547","7,727","8,058","8,188","8,146","8,101"
Expenses+,"3,320","3,596","3,711","3,615","3,122","2,879","2,602",589,"3,332","3,668","3,616","3,678","3,677"
Operating Profit,"3,433","3,480","3,422","3,584","4,072","4,504","4,864","6,958","4,395","4,390","4,572","4,468","4,424"
OPM %,51%,49%,48%,50%,57%,61%,65%,92%,57%,54%,56%,55%,55%
Other Income+,116,56,97,99,108,56,114,84,92,85,83,154,155
Interest,336,352,246,11,127,408,418,255,431,437,376,404,376
Depreciation,"1,320","1,374","1,526","1,596","1,564","1,560","1,580","1,568","1,693","1,704","1,801","1,798","1,838"
Profit before tax,"1,893","1,810","1,747","2,076","2,489","2,592","2,980","5,219","2,363","2,334","2,478","2,420","2,365"
Tax %,26%,26%,26%,26%,26%,26%,25%,23%,25%,26%,26%,27%,24%
Net Profit+,"1,399","1,348","1,295","1,540","1,853","1,926","2,224","4,003","1,779","1,737","1,839","1,776","1,793"
EPS in Rs,5.19,5.00,4.80,5.72,6.88,7.15,8.43,15.17,6.74,6.58,6.97,6.73,6.80
Raw PDF,,,,,,,,,,,,,
