Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,507","2,463","2,670","2,832","3,203","2,877","2,694","3,300","4,116","4,851","5,113","5,647"
Expenses+,"2,258","2,186","2,388","2,567","2,851","2,636","2,411","3,031","3,689","4,286","4,463","4,910"
Operating Profit,249,277,283,265,351,242,284,269,427,565,650,737
OPM %,10%,11%,11%,9%,11%,8%,11%,8%,10%,12%,13%,13%
Other Income+,58,49,83,69,61,54,16,77,27,27,59,30
Interest,0,9,3,3,4,4,6,6,5,8,12,11
Depreciation,102,111,111,109,73,67,62,77,85,97,117,143
Profit before tax,205,205,252,222,336,225,231,263,364,487,580,613
Tax %,30%,19%,31%,33%,33%,24%,27%,21%,26%,26%,26%,25%
Net Profit+,143,165,174,150,225,170,170,208,270,362,432,461
EPS in Rs,9.90,11.43,12.01,10.38,15.56,11.78,11.74,14.38,18.67,24.95,29.75,31.72
Dividend Payout %,51%,44%,42%,48%,32%,34%,34%,28%,27%,24%,22%,14%
