Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,384,439,280,396,440,580,496,537,556,602
Expenses+,287,315,254,293,320,422,375,392,369,426
Operating Profit,96,125,26,102,120,158,121,146,188,177
OPM %,25%,28%,9%,26%,27%,27%,24%,27%,34%,29%
Other Income+,11,3,8,10,9,10,10,15,0,16
Interest,23,21,21,21,23,11,12,9,10,8
Depreciation,31,31,31,36,34,37,38,40,44,45
Profit before tax,53,76,-18,55,72,119,81,112,134,139
Tax %,25%,26%,-25%,25%,25%,26%,25%,25%,25%,25%
Net Profit+,40,56,-14,42,54,88,60,84,100,104
EPS in Rs,,,,,2.59,4.24,2.90,4.00,4.75,4.92
Raw PDF,,,,,,,,,,
