Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,334","1,040","1,228","1,274","1,695","1,327","1,554","1,620","1,884","1,479","1,833","2,082","2,754"
Expenses+,"1,239","1,006","1,163","1,206","1,513","1,279","1,444","1,453","1,646","1,324","1,534","1,737","2,338"
Operating Profit,95,34,65,68,182,48,110,167,238,155,299,345,416
OPM %,7%,3%,5%,5%,11%,4%,7%,10%,13%,10%,16%,17%,15%
Other Income+,2,3,0,2,4,0,0,52,38,51,83,32,57
Interest,11,11,11,14,11,11,16,12,6,4,3,3,3
Depreciation,21,22,22,23,23,22,23,23,23,25,26,27,27
Profit before tax,65,3,32,34,152,15,71,184,247,177,353,348,443
Tax %,22%,29%,24%,32%,25%,31%,26%,25%,25%,26%,25%,25%,25%
Net Profit+,51,2,25,23,114,10,52,137,184,132,264,261,330
EPS in Rs,11.99,0.57,5.84,5.42,26.82,2.46,12.34,32.41,41.26,29.52,59.31,58.65,74.14
Raw PDF,,,,,,,,,,,,,
