Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,411","2,509","2,769","2,757","3,080","2,831","2,912","3,365","3,010","3,175","3,311","3,423","3,184"
Expenses+,"2,126","2,160","2,331","2,340","2,515","2,288","2,372","2,708","2,450","2,761","2,810","2,896","2,776"
Operating Profit,285,349,439,417,565,542,540,657,560,414,500,527,408
OPM %,12%,14%,16%,15%,18%,19%,19%,20%,19%,13%,15%,15%,13%
Other Income+,72,75,78,71,87,88,93,83,110,99,84,89,"1,541"
Interest,2,1,1,8,4,5,3,5,5,4,6,5,4
Depreciation,27,29,30,33,31,31,33,34,34,36,37,39,42
Profit before tax,328,393,485,447,617,595,597,702,631,474,542,571,"1,904"
Tax %,25%,25%,25%,24%,26%,25%,26%,25%,25%,26%,25%,24%,6%
Net Profit+,245,296,363,339,459,443,440,528,475,352,409,433,"1,784"
EPS in Rs,11.56,13.95,17.12,15.98,21.67,20.93,20.79,24.94,22.40,16.60,19.30,20.43,84.17
Raw PDF,,,,,,,,,,,,,
