Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"25,365","21,058","19,353","24,667","25,329","23,247","24,968","21,871","24,596","17,356","22,649","24,712","23,950"
Expenses+,"21,875","18,989","17,215","23,508","22,990","22,641","25,442","20,840","23,466","17,177","21,160","21,927","22,169"
Operating Profit,"3,490","2,068","2,138","1,159","2,339",606,-474,"1,031","1,130",180,"1,489","2,785","1,781"
OPM %,14%,10%,11%,5%,9%,3%,-2%,5%,5%,1%,7%,11%,7%
Other Income+,91,54,67,45,23,52,45,38,45,39,65,45,59
Interest,330,267,311,274,262,214,285,264,245,257,219,219,212
Depreciation,296,294,296,334,333,335,342,332,338,363,371,391,395
Profit before tax,"2,955","1,561","1,598",596,"1,768",108,"-1,056",474,592,-402,963,"2,220","1,233"
Tax %,35%,35%,34%,34%,36%,32%,-34%,35%,37%,-33%,35%,35%,91%
Net Profit+,"1,913","1,015","1,052",392,"1,138",73,-697,309,371,-271,627,"1,451",117
EPS in Rs,10.92,5.79,6.00,2.24,6.50,0.42,-3.98,1.76,2.11,-1.54,3.58,8.28,0.67
Raw PDF,,,,,,,,,,,,,
