Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,076","1,052","1,001",925,889,926,"1,159","1,319","1,239","1,633","1,528","1,276","1,254"
Expenses+,862,837,759,737,737,666,821,950,968,"1,016","1,016",965,906
Operating Profit,214,215,242,188,152,261,337,369,271,617,512,311,348
OPM %,20%,20%,24%,20%,17%,28%,29%,28%,22%,38%,34%,24%,28%
Other Income+,24,83,24,32,42,75,51,-0,46,80,68,95,5
Interest,28,35,35,31,28,36,50,64,70,62,64,64,54
Depreciation,45,45,46,46,46,45,62,78,87,81,85,86,88
Profit before tax,165,218,186,143,121,255,276,226,160,553,431,255,210
Tax %,30%,20%,19%,25%,37%,24%,26%,17%,41%,24%,27%,28%,33%
Net Profit+,115,172,149,114,88,198,203,200,100,437,328,190,155
EPS in Rs,3.44,4.85,3.99,3.32,2.68,5.64,5.55,5.60,3.07,12.33,9.17,5.40,4.48
Raw PDF,,,,,,,,,,,,,
