Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"28,944","22,644","19,546","25,050","29,180","25,472","22,608","22,848","26,966","21,961","21,249","24,820","32,439"
Expenses+,"25,337","20,119","17,116","21,824","25,985","21,767","18,842","19,778","23,256","18,651","17,942","21,178","28,709"
Operating Profit,"3,607","2,525","2,430","3,226","3,195","3,706","3,766","3,070","3,710","3,310","3,307","3,642","3,731"
OPM %,12%,11%,12%,13%,11%,15%,17%,13%,14%,15%,16%,15%,12%
Other Income+,-15,370,461,491,-176,591,583,648,"4,582",475,"4,179","6,288",748
Interest,"1,525","1,103","1,343",597,"1,513","1,130",910,"2,141","1,796","1,035","1,711","1,626","1,646"
Depreciation,895,714,757,760,811,934,"1,035","1,006","1,236","1,284","1,377","1,372","2,103"
Profit before tax,"1,172","1,079",791,"2,361",696,"2,232","2,403",572,"5,259","1,466","4,398","6,932",729
Tax %,38%,33%,50%,19%,62%,26%,21%,103%,24%,39%,23%,20%,117%
Net Profit+,781,677,333,"1,973",352,"1,772","1,989",229,"4,015",976,"3,414","5,727",-167
EPS in Rs,5.66,5.28,1.78,14.79,3.53,11.39,13.64,0.45,29.74,5.68,24.74,43.53,-1.71
Raw PDF,,,,,,,,,,,,,
