Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,660,791,912,"1,057","1,203","1,330","1,581","2,087","2,017","2,227","2,461","2,763"
Expenses+,504,582,675,793,910,987,"1,145","1,526","1,527","1,617","1,764","1,980"
Operating Profit,156,210,238,264,294,344,436,561,490,609,698,782
OPM %,24%,26%,26%,25%,24%,26%,28%,27%,24%,27%,28%,28%
Other Income+,12,20,27,31,46,55,51,52,42,69,91,71
Interest,0,0,1,1,1,15,16,30,38,29,22,23
Depreciation,28,28,28,33,38,73,77,108,150,144,142,162
Profit before tax,140,201,237,261,301,310,394,475,344,505,625,669
Tax %,31%,34%,34%,34%,33%,27%,25%,26%,30%,28%,21%,24%
Net Profit+,96,133,156,172,200,228,296,350,241,362,492,510
EPS in Rs,8.75,7.99,9.31,10.24,11.95,13.55,17.49,20.69,14.33,21.42,29.14,30.13
Dividend Payout %,9%,15%,16%,22%,25%,44%,57%,29%,42%,0%,0%,81%
