Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,274","1,240","1,295","1,169","1,150","1,020","1,044","1,066","1,157","1,039","1,048","1,067","1,266"
Expenses+,958,897,913,858,853,731,769,783,855,733,751,777,904
Operating Profit,316,343,382,311,297,289,276,283,302,306,297,290,363
OPM %,25%,28%,30%,27%,26%,28%,26%,27%,26%,29%,28%,27%,29%
Other Income+,64,60,62,84,77,83,91,72,98,114,99,132,140
Interest,10,8,7,7,6,6,5,1,8,7,8,16,5
Depreciation,23,24,25,27,25,25,24,26,28,28,28,28,29
Profit before tax,346,371,412,361,344,341,337,327,363,386,360,378,468
Tax %,23%,26%,21%,22%,24%,24%,24%,21%,21%,21%,23%,22%,16%
Net Profit+,268,273,324,280,260,259,256,259,285,305,277,293,393
EPS in Rs,28.43,28.87,34.25,29.64,27.62,27.52,27.51,27.78,30.56,32.69,29.73,31.55,42.14
Raw PDF,,,,,,,,,,,,,
