Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,632","1,681","2,236","1,796","2,164","1,862","2,304","1,654","1,528","2,307","2,432","3,873","4,074"
Expenses+,"1,950","1,158","1,651","1,261","1,336","1,079","1,684","1,071",999,"1,430","1,522","3,013","3,063"
Operating Profit,682,522,585,535,828,784,620,583,529,877,910,860,"1,010"
OPM %,26%,31%,26%,30%,38%,42%,27%,35%,35%,38%,37%,22%,25%
Other Income+,341,285,"1,020",175,108,162,119,43,61,161,278,36,70
Interest,235,238,264,293,424,346,356,345,286,384,385,384,430
Depreciation,168,166,174,180,197,190,200,205,217,216,219,234,238
Profit before tax,620,404,"1,167",237,314,409,183,77,87,439,584,278,413
Tax %,19%,21%,22%,31%,25%,25%,-28%,58%,51%,29%,22%,12%,29%
Net Profit+,505,318,910,165,236,307,235,32,43,312,457,245,292
EPS in Rs,11.68,6.66,21.23,2.90,3.49,5.80,4.46,0.41,0.58,6.79,9.99,5.17,5.81
Raw PDF,,,,,,,,,,,,,
