Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"8,025","7,045","7,607","8,800","10,780","8,673","10,322","9,381","12,214","9,503","10,595","11,952","13,459"
Interest,"1,478","1,671","1,827","1,997","2,122","2,244","2,369","2,496","2,585","2,736","2,804","2,981","3,101"
Expenses+,"5,766","4,490","4,798","5,764","7,182","5,458","6,604","5,876","8,419","5,652","6,594","7,645","8,924"
Financing Profit,782,884,982,"1,039","1,476",971,"1,348","1,009","1,210","1,114","1,197","1,326","1,434"
Financing Margin %,10%,13%,13%,12%,14%,11%,13%,11%,10%,12%,11%,11%,11%
Other Income+,91,70,70,60,183,150,124,85,219,136,92,72,207
Depreciation,40,43,46,50,52,54,60,64,68,71,77,76,82
Profit before tax,832,912,"1,006","1,050","1,606","1,067","1,413","1,030","1,361","1,178","1,212","1,322","1,559"
Tax %,24%,27%,28%,28%,20%,27%,28%,30%,35%,28%,27%,27%,25%
Net Profit+,636,666,725,760,"1,288",779,"1,021",724,886,851,882,966,"1,165"
EPS in Rs,2.52,2.50,2.71,2.83,4.79,2.92,3.84,2.72,3.32,3.20,3.27,3.61,4.31
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
