Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,934","2,218","1,922","2,541","2,319","2,316","2,509","3,096","2,470","2,907","3,170","3,055","3,011"
Expenses+,"1,604","1,876","1,575","1,999","1,781","1,842","2,025","2,499","1,945","2,283","2,475","2,420","2,369"
Operating Profit,330,342,346,543,539,473,484,598,525,624,695,634,642
OPM %,17%,15%,18%,21%,23%,20%,19%,19%,21%,21%,22%,21%,21%
Other Income+,159,155,128,153,186,171,157,168,217,212,181,46,263
Interest,7,8,7,6,6,5,3,3,5,3,3,5,2
Depreciation,38,36,38,42,42,44,45,49,46,48,49,50,51
Profit before tax,444,453,429,647,676,595,594,714,690,785,824,626,852
Tax %,21%,22%,23%,23%,20%,22%,24%,22%,23%,23%,24%,22%,24%
Net Profit+,349,354,329,499,539,463,449,558,530,604,622,486,649
EPS in Rs,12.59,12.76,11.87,18.00,19.44,16.69,16.21,20.15,19.10,21.79,22.45,17.53,23.43
Raw PDF,,,,,,,,,,,,,
