Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,869,666,812,871,"1,090","1,010","1,167","1,292","1,508","1,348","1,614","1,771","2,061"
Expenses+,937,743,901,898,"1,085","1,050","1,175","1,264","1,396","1,314","1,516","1,612","1,849"
Operating Profit,-68,-77,-89,-27,5,-39,-8,28,112,34,98,159,212
OPM %,-8%,-12%,-11%,-3%,0%,-4%,-1%,2%,7%,3%,6%,9%,10%
Other Income+,82,91,97,94,98,141,106,100,101,100,87,85,104
Interest,6,6,7,6,7,6,9,9,9,9,9,9,10
Depreciation,17,20,22,23,24,25,29,34,33,33,34,34,35
Profit before tax,-9,-12,-21,37,73,71,60,85,171,92,142,201,272
Tax %,-0%,3%,-1%,0%,17%,15%,15%,16%,0%,8%,5%,6%,4%
Net Profit+,-9,-12,-21,37,60,60,51,72,170,85,135,189,261
EPS in Rs,-0.20,-0.25,-0.45,0.84,1.34,1.32,1.11,1.56,3.70,1.84,2.94,4.09,5.64
Raw PDF,,,,,,,,,,,,,
