Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"55,857","52,991","54,169","52,808","55,994","57,013","58,203","58,390","64,890","64,232","66,058","66,521","78,133"
Expenses+,"50,530","47,277","48,557","46,943","49,314","49,510","50,320","50,807","56,054","56,326","57,092","58,530","68,119"
Operating Profit,"5,327","5,714","5,612","5,865","6,680","7,503","7,883","7,583","8,836","7,906","8,966","7,991","10,014"
OPM %,10%,11%,10%,11%,12%,13%,14%,13%,14%,12%,14%,12%,13%
Other Income+,354,381,496,281,362,96,561,469,706,604,532,"-2,061","-3,146"
Interest,986,992,"1,034",944,888,859,869,817,874,754,803,881,"1,042"
Depreciation,"1,856","1,786","1,843","1,874","2,018","1,892","1,932","1,939","2,118","2,080","2,155","2,220","2,375"
Profit before tax,"2,839","3,317","3,231","3,328","4,136","4,848","5,643","5,296","6,550","5,676","6,540","2,829","3,451"
Tax %,15%,26%,32%,30%,23%,37%,31%,29%,19%,29%,28%,28%,25%
Net Profit+,"2,411","2,454","2,196","2,331","3,174","3,074","3,909","3,735","5,284","4,004","4,741","2,049","2,597"
EPS in Rs,10.73,10.92,9.77,10.37,14.12,13.68,17.39,16.62,23.51,17.82,21.10,9.12,11.56
Raw PDF,,,,,,,,,,,,,
