Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"3,463","3,583","3,833","4,100","4,280","4,316","4,465","4,797","4,886","4,991","5,026","5,450","5,539"
Interest,"1,477","1,597","1,703","1,798","1,861","1,960","2,062","2,175","2,218","2,280","2,198","2,236","2,220"
Expenses+,"1,072","1,504","1,724","1,456","1,520","1,676","1,830","1,325","2,001","1,964","2,015","1,913","1,987"
Financing Profit,913,482,406,846,900,679,573,"1,297",667,746,814,"1,301","1,332"
Financing Margin %,26%,13%,11%,21%,21%,16%,13%,27%,14%,15%,16%,24%,24%
Other Income+,86,67,44,50,68,58,28,19,27,43,39,-100,37
Depreciation,65,66,67,69,72,76,79,82,85,86,94,96,110
Profit before tax,934,483,383,826,896,661,523,"1,233",609,704,759,"1,105","1,259"
Tax %,28%,25%,25%,25%,25%,25%,25%,26%,25%,25%,25%,25%,25%
Net Profit+,675,362,287,623,671,497,390,918,456,529,566,826,940
EPS in Rs,4.90,2.58,2.02,4.48,4.82,3.58,2.80,6.60,3.29,3.80,4.06,5.93,6.75
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
