Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,44,61,84,81,85,160,143,133,159,172,183,391
Expenses+,32,36,50,53,65,108,107,109,118,121,141,241
Operating Profit,13,25,34,27,21,52,36,23,41,51,42,150
OPM %,29%,41%,41%,34%,24%,33%,25%,17%,26%,30%,23%,38%
Other Income+,1,2,1,1,2,3,5,4,5,7,19,0
Interest,0,0,0,0,0,1,1,0,1,2,2,3
Depreciation,2,2,2,2,2,2,3,3,3,3,4,5
Profit before tax,11,25,32,26,21,53,38,25,42,53,55,142
Tax %,33%,36%,37%,34%,27%,24%,24%,30%,25%,24%,25%,24%
Net Profit+,8,16,21,17,15,40,29,17,32,40,41,108
EPS in Rs,0.06,0.12,0.15,0.13,0.11,0.30,0.22,0.13,0.24,0.30,0.30,0.81
Dividend Payout %,22%,21%,22%,29%,35%,15%,21%,35%,21%,0%,0%,0%
