Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"32,214","32,535","37,339","33,513","38,471","35,779","37,449","38,764","40,920","38,605","42,344","49,904","52,462"
Expenses+,"28,320","29,015","32,028","29,073","33,250","30,673","32,450","33,688","36,076","33,983","37,258","44,331","46,304"
Operating Profit,"3,894","3,520","5,312","4,440","5,221","5,107","4,999","5,076","4,844","4,623","5,086","5,573","6,158"
OPM %,12%,11%,14%,13%,14%,14%,13%,13%,12%,12%,12%,11%,12%
Other Income+,850,"1,110",958,"1,053","1,261","1,118","1,570","1,125","1,583","1,924","1,014","1,140",581
Interest,164,46,35,36,76,57,43,46,48,47,57,62,73
Depreciation,"1,240","1,314","1,342","1,302","1,298","1,332","1,386","1,429","1,462","1,556","1,703","1,735","1,748"
Profit before tax,"3,341","3,269","4,892","4,156","5,108","4,836","5,141","4,726","4,918","4,944","4,339","4,917","4,918"
Tax %,20%,22%,23%,23%,23%,22%,40%,21%,20%,23%,23%,21%,26%
Net Profit+,"2,688","2,543","3,786","3,207","3,952","3,760","3,102","3,727","3,911","3,792","3,349","3,879","3,659"
EPS in Rs,88.97,84.18,125.34,102.00,125.71,119.58,98.68,118.54,124.40,120.62,106.52,123.38,116.38
Raw PDF,,,,,,,,,,,,,
