Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,614,652,673,753,836,734,757,875,961,652,744,855,"1,029"
Expenses+,541,570,584,650,706,636,648,740,797,559,635,725,857
Operating Profit,73,82,89,103,130,99,109,135,164,93,109,130,172
OPM %,12%,13%,13%,14%,16%,13%,14%,15%,17%,14%,15%,15%,17%
Other Income+,3,16,17,23,21,28,34,30,8,51,29,36,-6
Interest,3,3,4,6,11,7,9,8,4,8,6,5,3
Depreciation,5,5,5,6,7,7,7,7,7,8,9,9,10
Profit before tax,68,90,97,114,133,112,127,149,161,128,124,152,153
Tax %,31%,25%,24%,23%,26%,25%,25%,25%,26%,23%,27%,23%,28%
Net Profit+,47,68,74,88,98,84,95,112,119,98,90,116,111
EPS in Rs,4.00,5.67,6.21,7.41,8.27,7.07,7.96,9.38,9.96,8.21,7.56,9.78,9.31
Raw PDF,,,,,,,,,,,,,
