Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,029","2,757","2,931","2,056","1,887","2,694","3,052","2,287","2,347","3,214","3,365","2,221","2,816"
Expenses+,"1,141","1,253","1,163","1,303",735,"1,085","1,247","1,272","1,142","1,412","1,338","2,009","2,179"
Operating Profit,888,"1,505","1,768",752,"1,152","1,609","1,805","1,015","1,205","1,802","2,027",212,637
OPM %,44%,55%,60%,37%,61%,60%,59%,44%,51%,56%,60%,10%,23%
Other Income+,425,292,261,587,623,431,454,365,265,413,448,"1,449",306
Interest,111,109,116,133,365,244,308,649,-12,261,278,310,574
Depreciation,304,294,295,296,299,296,285,297,315,436,441,457,642
Profit before tax,898,"1,394","1,618",909,"1,111","1,500","1,666",434,"1,167","1,518","1,755",894,-274
Tax %,17%,21%,-5%,31%,46%,27%,36%,24%,21%,26%,31%,64%,-666%
Net Profit+,745,"1,095","1,693",623,605,"1,102","1,060",330,920,"1,131","1,219",321,"1,549"
EPS in Rs,0.65,1.03,1.54,0.48,0.54,1.02,0.90,0.23,0.85,1.06,1.02,0.22,1.45
Raw PDF,,,,,,,,,,,,,
