Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,059","1,367","1,520","1,466","1,870","2,264",777,"1,879","3,541","4,260","4,675","5,215"
Expenses+,907,"1,176","1,206","1,192","1,487","1,562",589,"1,005","2,265","2,794","3,124","3,549"
Operating Profit,152,190,314,274,383,703,188,874,"1,276","1,466","1,551","1,666"
OPM %,14%,14%,21%,19%,20%,31%,24%,47%,36%,34%,33%,32%
Other Income+,82,139,67,99,126,77,124,72,148,106,276,277
Interest,0,0,3,3,2,10,8,11,16,19,17,18
Depreciation,20,21,22,24,29,40,46,49,54,57,53,50
Profit before tax,214,309,355,346,479,730,258,885,"1,354","1,496","1,757","1,875"
Tax %,39%,39%,35%,36%,36%,30%,27%,26%,26%,26%,25%,26%
Net Profit+,131,189,229,221,309,513,187,660,"1,006","1,111","1,315","1,393"
EPS in Rs,13.06,18.86,11.45,11.03,3.86,6.41,2.34,8.24,12.57,13.89,16.43,17.42
Dividend Payout %,20%,40%,49%,21%,98%,39%,43%,42%,44%,47%,49%,52%
