Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,184,161,164,155,118,180,199,220,240,256,280,319,305
Expenses+,124,116,118,124,107,137,145,155,161,175,192,207,222
Operating Profit,60,45,46,31,10,43,54,65,80,81,88,112,83
OPM %,32%,28%,28%,20%,9%,24%,27%,29%,33%,32%,31%,35%,27%
Other Income+,1,2,14,5,4,9,8,11,2,-0,6,-4,10
Interest,1,1,2,2,4,3,2,3,5,5,3,4,6
Depreciation,7,9,10,10,10,10,11,11,13,14,17,17,18
Profit before tax,52,37,49,24,0,39,49,61,64,62,74,87,68
Tax %,28%,19%,25%,27%,486%,24%,28%,29%,21%,24%,27%,26%,21%
Net Profit+,38,30,37,17,-1,30,35,43,50,47,54,64,54
EPS in Rs,3.02,2.25,2.77,1.31,-0.11,2.26,2.63,3.27,3.79,3.55,4.07,4.86,4.07
Raw PDF,,,,,,,,,,,,,
