Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"62,962","59,490","55,682","55,312","58,687","54,771","53,905","53,648","56,218","53,178","58,689","57,002","63,270"
Expenses+,"55,742","54,587","51,414","49,048","52,087","48,077","47,789","47,745","49,659","45,751","49,793","48,803","53,441"
Operating Profit,"7,219","4,903","4,268","6,264","6,601","6,694","6,116","5,903","6,559","7,428","8,897","8,200","9,829"
OPM %,11%,8%,8%,11%,11%,12%,11%,11%,12%,14%,15%,14%,16%
Other Income+,277,"1,190","-6,568",-33,-382,-6,617,142,149,236,-6,465,42
Interest,"1,794","1,825","1,959","1,881","1,842","1,777","1,971","1,804","1,789","1,852","1,775","1,747","1,792"
Depreciation,"2,382","2,412","2,480","2,422","2,568","2,535","2,597","2,569","2,720","2,744","2,893","3,049","3,268"
Profit before tax,"3,321","1,855","-6,739","1,928","1,809","2,377","2,164","1,672","2,200","3,067","4,222","3,869","4,810"
Tax %,53%,72%,-3%,73%,69%,61%,65%,82%,45%,35%,25%,29%,38%
Net Profit+,"1,566",525,"-6,511",522,555,919,759,295,"1,201","2,007","3,183","2,730","2,965"
EPS in Rs,1.39,0.52,-5.07,0.42,0.49,0.77,0.67,0.26,1.04,1.66,2.48,2.15,2.34
Raw PDF,,,,,,,,,,,,,
