Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,858","4,873","5,808","3,710","4,152","3,763","4,457","3,360","4,029","4,347","4,900","3,831","4,618"
Expenses+,"4,237","4,307","5,108","3,256","3,516","3,277","3,912","2,974","3,584","3,825","4,291","3,409","4,174"
Operating Profit,621,567,700,453,637,485,545,387,445,521,609,422,444
OPM %,13%,12%,12%,12%,15%,13%,12%,12%,11%,12%,12%,11%,10%
Other Income+,117,132,146,256,479,298,544,423,341,124,126,19,116
Interest,10,4,5,3,21,5,18,3,2,5,4,6,14
Depreciation,78,88,79,60,63,70,62,66,66,71,69,71,74
Profit before tax,649,607,762,646,"1,032",709,"1,009",740,718,570,662,364,472
Tax %,27%,25%,25%,22%,22%,18%,18%,17%,19%,26%,27%,24%,21%
Net Profit+,472,456,572,506,803,578,831,615,582,423,485,278,370
EPS in Rs,13.24,12.79,16.04,14.19,22.54,16.22,23.33,17.25,16.34,11.88,13.62,7.79,10.39
Raw PDF,,,,,,,,,,,,,
