Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,884","5,812","6,434","6,686","7,934","8,130","7,730","8,186","8,088","8,637","8,294","8,099"
Expenses+,"3,624","4,386","4,711","4,605","5,370","6,870","6,123","6,409","6,981","7,726","7,082","7,700"
Operating Profit,"1,260","1,427","1,723","2,081","2,564","1,260","1,606","1,777","1,107",911,"1,212",399
OPM %,26%,25%,27%,31%,32%,15%,21%,22%,14%,11%,15%,5%
Other Income+,222,183,"1,430",565,236,112,-29,-111,-459,-206,17,137
Interest,10,160,137,145,130,145,57,44,70,72,33,45
Depreciation,67,78,115,182,235,271,265,221,313,309,278,217
Profit before tax,"1,404","1,373","2,901","2,319","2,434",956,"1,256","1,400",264,323,918,274
Tax %,31%,40%,23%,36%,36%,45%,37%,32%,82%,56%,26%,1%
Net Profit+,972,824,"2,220","1,478","1,567",525,793,956,48,141,680,271
EPS in Rs,10.18,8.57,23.13,15.40,16.32,5.48,8.33,10.04,0.50,1.47,7.07,2.82
Dividend Payout %,22%,26%,11%,19%,21%,5%,30%,30%,0%,68%,34%,71%
