Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,896,857,874,833,948,925,989,"1,303","1,438","1,677","2,109","2,120"
Expenses+,836,776,801,750,804,763,770,"1,065","1,211","1,395","1,668","1,685"
Operating Profit,60,81,73,83,144,162,219,238,227,282,441,435
OPM %,7%,9%,8%,10%,15%,17%,22%,18%,16%,17%,21%,20%
Other Income+,27,6,8,5,9,12,15,39,42,39,54,65
Interest,44,44,33,25,19,18,20,18,17,12,9,8
Depreciation,15,17,14,14,14,20,24,28,32,39,41,45
Profit before tax,27,27,34,50,120,135,190,231,220,270,445,446
Tax %,35%,38%,33%,34%,32%,36%,34%,28%,24%,25%,26%,24%
Net Profit+,18,16,22,33,82,86,126,167,166,203,331,338
EPS in Rs,7.64,7.08,9.66,14.26,35.14,37.03,54.21,71.96,71.51,87.50,142.57,145.59
Dividend Payout %,0%,0%,10%,14%,28%,27%,18%,14%,14%,11%,8%,8%
