Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,278,464,708,871,"1,282","1,683","2,028","2,669","3,487","5,167","5,752","6,059"
Interest,129,208,317,354,417,575,745,987,"1,216","1,738","1,955","1,905"
Expenses+,76,126,264,184,361,639,"1,069","1,235","1,179","1,444","3,030","3,061"
Financing Profit,74,130,128,332,504,470,214,447,"1,092","1,984",767,"1,093"
Financing Margin %,26%,28%,18%,38%,39%,28%,11%,17%,31%,38%,13%,18%
Other Income+,3,2,1,1,1,1,3,81,64,6,4,4
Depreciation,2,3,4,5,8,20,23,47,50,51,62,63
Profit before tax,75,130,124,328,498,451,194,481,"1,105","1,939",709,"1,033"
Tax %,35%,36%,35%,35%,35%,27%,27%,27%,25%,25%,25%,25%
Net Profit+,49,83,80,212,322,328,142,353,826,"1,446",531,778
EPS in Rs,6.68,11.41,9.37,16.54,22.41,22.75,9.15,22.65,52.87,90.72,33.27,48.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%
