Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"10,243","11,104","11,688","12,052","12,677","13,079","13,682","14,272","15,334","14,737","15,153","15,051","14,564"
Interest,"6,496","7,049","7,350","7,654","7,896","8,020","8,506","8,837","8,768","8,934","9,131","9,243","8,931"
Expenses+,-149,332,-492,240,-425,717,97,263,"1,084",217,476,655,"1,231"
Financing Profit,"3,896","3,723","4,831","4,158","5,206","4,341","5,079","5,172","5,482","5,587","5,546","5,154","4,402"
Financing Margin %,38%,34%,41%,34%,41%,33%,37%,36%,36%,38%,37%,34%,30%
Other Income+,12,4,13,20,29,14,24,15,15,87,10,-11,20
Depreciation,6,6,6,6,6,6,6,6,6,7,7,7,7
Profit before tax,"3,901","3,721","4,838","4,172","5,229","4,349","5,097","5,181","5,490","5,666","5,549","5,136","4,415"
Tax %,21%,20%,22%,21%,22%,20%,21%,21%,21%,21%,20%,21%,24%
Net Profit+,"3,065","2,968","3,790","3,308","4,079","3,460","4,038","4,076","4,310","4,466","4,415","4,052","3,375"
EPS in Rs,11.64,11.27,14.39,12.56,15.49,13.14,15.33,15.48,16.37,16.96,16.77,15.39,12.82
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
