Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,271","1,652","2,080","2,088","2,110","2,021","1,917","1,899","2,055","1,601","1,968","1,996","2,208"
Expenses+,"1,902","1,547","1,911","2,004","1,965","1,868","1,827","1,767","1,815","1,570","1,783","1,815","1,726"
Operating Profit,369,105,169,84,145,153,90,132,240,31,185,181,482
OPM %,16%,6%,8%,4%,7%,8%,5%,7%,12%,2%,9%,9%,22%
Other Income+,123,88,152,121,108,99,123,157,122,150,127,97,125
Interest,1,1,1,7,4,17,2,3,1,2,1,1,2
Depreciation,74,76,78,76,78,78,76,75,74,74,81,73,79
Profit before tax,417,116,242,122,171,157,135,211,287,105,230,204,526
Tax %,20%,27%,26%,22%,26%,27%,24%,25%,27%,26%,23%,26%,25%
Net Profit+,336,88,182,97,130,118,105,163,211,83,179,150,396
EPS in Rs,21.62,5.66,11.71,6.60,8.85,8.03,7.15,11.09,14.36,5.65,12.18,10.21,26.95
Raw PDF,,,,,,,,,,,,,
