Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"22,621","26,494","29,141","30,773","34,742","36,868","37,855","44,646","53,290","51,996","52,988","56,815"
Expenses+,"18,428","22,234","24,956","26,063","28,471","31,365","31,059","36,626","45,527","47,489","46,024","47,783"
Operating Profit,"4,193","4,260","4,184","4,710","6,271","5,503","6,796","8,020","7,763","4,506","6,964","9,033"
OPM %,19%,16%,14%,15%,18%,15%,18%,18%,15%,9%,13%,16%
Other Income+,106,453,775,"1,417",534,"1,192",788,"1,115",965,927,864,-240
Interest,69,97,129,162,133,192,174,163,326,392,322,337
Depreciation,611,759,978,"1,085","1,129","1,446","1,458","1,520","1,957","1,817","1,853","1,882"
Profit before tax,"3,618","3,857","3,853","4,879","5,543","5,058","5,953","7,452","6,446","3,224","5,653","6,573"
Tax %,27%,22%,26%,22%,23%,23%,27%,24%,25%,26%,25%,27%
Net Profit+,"2,659","3,027","2,851","3,786","4,289","3,897","4,353","5,630","4,857","2,397","4,253","4,806"
EPS in Rs,27.35,30.92,28.88,38.78,43.70,41.76,45.73,57.27,49.60,24.14,43.43,49.10
Dividend Payout %,22%,35%,28%,33%,29%,32%,89%,47%,91%,150%,94%,94%
