Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,302","4,418","4,847","4,851","4,944","5,086","5,589","5,527","5,592","5,842","6,304","6,477","6,606"
Expenses+,"3,814","3,909","4,219","4,237","4,303","4,410","4,774","4,765","4,822","4,990","5,362","5,512","5,594"
Operating Profit,488,509,628,614,640,675,816,762,770,852,941,965,"1,011"
OPM %,11%,12%,13%,13%,13%,13%,15%,14%,14%,15%,15%,15%,15%
Other Income+,20,34,26,29,37,49,44,69,72,54,61,48,54
Interest,95,106,111,113,119,116,118,110,115,108,110,113,119
Depreciation,159,167,163,167,190,177,184,185,211,215,218,219,224
Profit before tax,254,270,379,363,368,430,557,536,516,583,675,682,722
Tax %,43%,36%,34%,30%,30%,27%,29%,29%,20%,24%,27%,24%,24%
Net Profit+,146,173,249,254,258,316,396,379,414,441,494,516,551
EPS in Rs,10.05,11.59,16.20,17.06,17.65,21.23,26.34,25.89,27.10,30.10,33.19,34.93,36.81
Raw PDF,,,,,,,,,,,,,
