Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"6,038","7,328","6,961","6,366","6,529","9,034","7,176","6,499","6,456","7,906","7,876","6,778","6,406"
Expenses+,"4,947","6,143","5,740","5,322","5,420","7,176","5,968","5,388","5,326","6,423","6,370","5,375","5,257"
Operating Profit,"1,090","1,185","1,221","1,044","1,109","1,858","1,207","1,112","1,130","1,483","1,506","1,403","1,149"
OPM %,18%,16%,18%,16%,17%,21%,17%,17%,18%,19%,19%,21%,18%
Other Income+,96,86,108,54,97,76,125,172,114,105,78,69,71
Interest,189,227,247,235,233,260,272,276,236,212,216,255,252
Depreciation,329,332,342,349,355,359,371,378,389,390,389,413,421
Profit before tax,668,711,741,513,617,"1,315",689,630,619,985,979,805,547
Tax %,28%,25%,27%,27%,28%,24%,28%,22%,-74%,25%,24%,19%,39%
Net Profit+,484,532,543,374,447,996,496,489,"1,077",742,742,655,331
EPS in Rs,9.34,10.76,10.94,7.49,8.95,20.23,10.01,9.44,21.03,14.52,14.36,12.76,6.31
Raw PDF,,,,,,,,,,,,,
