Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,104,191,305,494,710,902,"1,103","1,304","1,608","2,018","2,355","2,683"
Interest,53,97,143,193,255,356,458,478,591,828,"1,007","1,095"
Expenses+,21,43,72,161,188,225,273,349,441,535,582,706
Financing Profit,30,51,90,139,266,321,372,477,576,654,765,882
Financing Margin %,29%,27%,29%,28%,38%,36%,34%,37%,36%,32%,32%,33%
Other Income+,0,0,0,1,1,1,2,1,2,3,4,1
Depreciation,1,1,3,6,10,20,21,24,29,33,36,43
Profit before tax,29,50,88,134,258,302,353,455,549,624,733,840
Tax %,34%,34%,35%,31%,32%,18%,18%,22%,22%,21%,22%,22%
Net Profit+,19,33,57,93,176,249,290,357,430,491,574,655
EPS in Rs,5.80,8.54,9.82,13.46,22.52,31.81,36.88,45.20,54.40,62.00,72.53,82.60
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
