Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,872","1,859","2,109","2,115","2,233","2,185","2,326","2,300","2,510","2,494","2,762","2,887","3,335"
Expenses+,"1,655","1,665","1,856","1,853","1,941","1,946","2,076","2,063","2,238","2,250","2,482","2,625","3,061"
Operating Profit,217,194,253,262,291,239,250,238,271,244,280,262,274
OPM %,12%,10%,12%,12%,13%,11%,11%,10%,11%,10%,10%,9%,8%
Other Income+,5,14,1,1,4,5,5,1,2,1,1,1,1
Interest,9,8,7,6,6,5,7,7,6,6,6,7,6
Depreciation,35,34,36,38,39,40,44,47,48,49,53,56,57
Profit before tax,179,166,210,219,250,198,203,185,220,190,221,200,212
Tax %,22%,26%,26%,23%,24%,25%,25%,24%,25%,25%,25%,25%,21%
Net Profit+,138,123,156,168,191,149,152,140,165,143,165,149,167
EPS in Rs,0.21,0.19,0.24,0.25,0.29,0.22,0.23,0.21,0.25,0.22,0.25,0.23,0.25
Raw PDF,,,,,,,,,,,,,
