Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,317","2,159","2,253","2,274","2,682","2,714","2,420","2,560","2,752","2,760","2,393","2,737","2,933"
Expenses+,"1,837","1,658","1,720","1,734","2,001","2,051","1,840","1,960","2,139","2,254","1,882","2,094","2,293"
Operating Profit,480,501,533,541,681,664,580,601,614,506,511,643,640
OPM %,21%,23%,24%,24%,25%,24%,24%,23%,22%,18%,21%,24%,22%
Other Income+,57,106,107,66,171,162,90,187,99,107,71,77,-4
Interest,26,22,24,36,31,22,41,16,50,31,33,34,36
Depreciation,156,155,160,161,174,163,166,173,178,188,193,195,199
Profit before tax,355,430,456,409,647,640,463,600,485,394,357,491,401
Tax %,27%,23%,24%,25%,25%,23%,25%,25%,24%,27%,24%,22%,25%
Net Profit+,260,332,347,305,487,490,347,449,369,288,273,382,299
EPS in Rs,13.44,17.17,17.97,15.80,25.18,25.35,17.95,23.25,19.06,14.91,14.13,19.77,15.49
Raw PDF,,,,,,,,,,,,,
