Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"164,067","163,824","147,614","167,357","172,137","168,968","159,331","167,213","167,749","163,108","157,911","167,423","173,805"
Expenses+,"143,527","133,029","119,534","146,996","148,913","147,183","138,757","142,858","145,983","137,429","131,390","142,088","148,449"
Operating Profit,"20,539","30,795","28,080","20,360","23,224","21,785","20,574","24,354","21,766","25,679","26,521","25,335","25,356"
OPM %,13%,19%,19%,12%,13%,13%,13%,15%,13%,16%,17%,15%,15%
Other Income+,"-4,786","3,069","3,673","4,299","3,375","3,535","4,162","2,415","3,548","2,555","3,447","3,450","5,699"
Interest,"2,068","2,364","3,243","3,203","3,608","3,694","3,827","3,750","3,264","3,341","3,411","3,207","3,070"
Depreciation,"6,744","7,078","7,079","7,494","8,420","8,501","8,254","9,539","8,912","9,384","9,273","9,388","9,345"
Profit before tax,"6,941","24,422","21,431","13,962","14,570","13,125","12,655","13,480","13,137","15,509","17,284","16,190","18,640"
Tax %,7%,27%,25%,25%,24%,26%,22%,28%,32%,26%,27%,26%,27%
Net Profit+,"6,478","17,893","16,171","10,511","11,096","9,776","9,841","9,747","8,965","11,554","12,615","11,946","13,678"
EPS in Rs,3.57,11.64,10.89,8.51,7.97,7.93,8.14,6.82,5.91,7.79,8.57,7.96,8.60
Raw PDF,,,,,,,,,,,,,
