Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,555,424,555,618,952,"2,336","5,050"
Expenses+,451,312,451,562,832,"1,614","3,316"
Operating Profit,105,113,104,56,120,722,"1,734"
OPM %,19%,27%,19%,9%,13%,31%,34%
Other Income+,9,2,12,26,3,25,54
Interest,65,62,49,28,34,108,155
Depreciation,39,52,42,43,42,156,296
Profit before tax,9,1,25,12,48,483,"1,338"
Tax %,-44%,"-1,064%",49%,23%,39%,24%,19%
Net Profit+,14,9,13,9,29,369,"1,082"
EPS in Rs,12.61,8.63,12.62,8.28,26.78,68.39,15.62
Dividend Payout %,0%,0%,0%,0%,0%,0%,6%
