Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,897","3,853","4,634","5,810","6,002","5,785","6,512"
Expenses+,"2,294","3,024","3,878","5,147","5,149","5,169","5,272"
Operating Profit,603,829,756,663,853,617,"1,240"
OPM %,21%,22%,16%,11%,14%,11%,19%
Other Income+,39,20,195,145,85,100,"-1,321"
Interest,268,291,315,310,435,450,378
Depreciation,145,179,238,373,278,310,322
Profit before tax,230,379,398,125,224,-44,-781
Tax %,33%,34%,41%,17%,72%,275%,2%
Net Profit+,154,250,233,104,62,-164,-799
EPS in Rs,1.56,2.53,2.48,1.39,0.91,-1.12,-5.55
Dividend Payout %,0%,0%,0%,0%,0%,0%,-9%
