Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,584,635,572,676,652,609,630,841,925,"1,568","3,212","4,834"
Expenses+,293,392,381,401,434,482,429,489,609,857,"1,336","1,755"
Operating Profit,290,243,190,274,219,127,202,352,316,711,"1,876","3,079"
OPM %,50%,38%,33%,41%,34%,21%,32%,42%,34%,45%,58%,64%
Other Income+,-10,23,137,529,56,62,19,52,78,417,22,392
Interest,1,0,1,1,1,2,10,28,37,39,32,0
Depreciation,59,54,50,45,51,51,58,48,60,95,113,159
Profit before tax,221,212,276,757,223,135,153,327,297,995,"1,754","3,311"
Tax %,20%,17%,4%,7%,10%,11%,7%,25%,31%,22%,25%,25%
Net Profit+,177,177,265,702,199,121,142,245,206,772,"1,322","2,487"
EPS in Rs,1.66,1.38,4.57,14.22,4.27,3.02,3.58,6.27,5.43,19.17,32.65,61.31
Dividend Payout %,33%,61%,68%,28%,78%,63%,65%,72%,74%,26%,23%,16%
