Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,065","3,272","4,943","4,818","4,658","6,580","11,534","10,454","10,293","12,836","14,855","10,672","10,511"
Expenses+,"2,909","3,140","4,744","4,634","4,476","6,332","11,108","10,063","9,850","12,353","14,294","10,257","10,102"
Operating Profit,156,132,199,184,182,248,426,391,443,482,561,414,408
OPM %,5%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
Other Income+,3,6,3,4,19,16,206,10,265,8,497,139,90
Interest,15,14,17,22,21,29,38,41,46,33,38,43,24
Depreciation,32,34,36,41,51,55,66,75,86,93,96,99,105
Profit before tax,112,90,149,126,130,180,529,285,576,366,924,412,370
Tax %,28%,25%,24%,23%,25%,22%,22%,24%,19%,23%,19%,22%,19%
Net Profit+,81,67,113,97,97,140,412,216,465,280,746,321,298
EPS in Rs,13.54,11.55,18.02,16.12,15.91,22.34,65.15,28.50,66.54,37.20,110.72,47.34,42.17
Raw PDF,,,,,,,,,,,,,
