Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"11,306","11,481","10,031","11,083","13,225","13,137","14,182","19,111","29,628","22,058","24,085","31,480"
Expenses+,"10,450","10,712","9,048","9,822","11,775","11,400","12,193","16,954","26,726","19,678","21,508","28,264"
Operating Profit,856,769,983,"1,261","1,450","1,737","1,989","2,156","2,902","2,380","2,577","3,216"
OPM %,8%,7%,10%,11%,11%,13%,14%,11%,10%,11%,11%,10%
Other Income+,50,87,54,55,8,35,76,141,171,223,703,277
Interest,210,221,224,178,251,235,106,75,190,187,262,343
Depreciation,105,106,101,99,114,158,173,173,182,229,290,534
Profit before tax,592,529,712,"1,038","1,093","1,379","1,786","2,050","2,701","2,188","2,728","2,617"
Tax %,32%,32%,33%,33%,34%,23%,26%,25%,25%,25%,25%,27%
Net Profit+,402,357,477,691,720,"1,065","1,329","1,528","2,013","1,641","2,055","1,898"
EPS in Rs,13.80,12.27,16.35,23.64,24.63,36.36,45.30,52.08,68.46,55.78,70.14,66.31
Dividend Payout %,33%,33%,31%,27%,26%,33%,26%,23%,18%,11%,21%,17%
