Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,351","1,324","1,471","1,396","1,490","1,497","1,619","1,462","1,463","1,434","1,520","1,486","1,595"
Expenses+,899,906,989,927,958,988,"1,122","1,007",964,981,"1,054","1,044","1,086"
Operating Profit,452,418,482,468,532,508,497,454,498,453,465,442,510
OPM %,33%,32%,33%,34%,36%,34%,31%,31%,34%,32%,31%,30%,32%
Other Income+,18,-5,21,18,23,23,76,20,19,18,15,31,0
Interest,1,1,1,2,1,1,1,1,1,1,1,1,1
Depreciation,43,44,44,41,42,42,42,41,38,38,37,36,35
Profit before tax,426,369,458,443,511,489,530,433,478,432,442,436,474
Tax %,26%,26%,26%,26%,26%,26%,26%,25%,26%,26%,26%,26%,25%
Net Profit+,316,274,340,330,380,364,395,323,355,321,328,324,353
EPS in Rs,11.63,10.06,12.50,12.14,13.96,13.38,14.52,11.87,13.05,11.79,12.04,11.91,12.99
Raw PDF,,,,,,,,,,,,,
