Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,737,806,864,814,859,864,924,924,931,985,"1,066","1,072","1,111"
Expenses+,685,737,791,744,781,786,845,846,845,897,974,979,"1,014"
Operating Profit,52,69,74,70,78,78,79,78,86,88,92,92,97
OPM %,7%,9%,9%,9%,9%,9%,9%,8%,9%,9%,9%,9%,9%
Other Income+,6,5,5,5,8,7,7,9,7,7,9,11,10
Interest,1,2,1,1,1,1,1,1,1,2,1,2,2
Depreciation,13,14,14,14,14,15,16,16,16,19,19,19,19
Profit before tax,45,58,63,59,70,69,70,71,75,74,81,81,86
Tax %,25%,26%,25%,28%,25%,26%,25%,24%,28%,24%,25%,19%,28%
Net Profit+,34,42,47,43,53,51,53,54,54,56,61,66,61
EPS in Rs,2.35,2.96,3.27,2.99,3.67,3.56,3.67,3.76,3.76,3.88,4.22,4.57,4.26
Raw PDF,,,,,,,,,,,,,
