Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"64,465","34,008","36,533","35,924","40,379","43,403","39,537","69,420","127,540","96,421","97,895","100,469"
Expenses+,"52,015","32,325","34,631","33,886","38,409","41,108","37,031","65,707","118,722","85,044","83,643","86,478"
Operating Profit,"12,450","1,684","1,902","2,038","1,969","2,294","2,506","3,714","8,818","11,377","14,252","13,991"
OPM %,19%,5%,5%,6%,5%,5%,6%,5%,7%,12%,15%,14%
Other Income+,792,"1,044",749,363,504,872,494,"1,012",834,"1,146","6,403","11,688"
Interest,"7,056","1,357","1,257","1,250","1,625","1,572","1,377","2,526","3,969","4,555","5,978","6,019"
Depreciation,"3,522",314,315,664,390,472,537,"1,248","2,436","3,042","4,211","6,135"
Profit before tax,"2,663","1,056","1,079",487,459,"1,122","1,086",952,"3,247","4,926","10,466","13,525"
Tax %,14%,7%,25%,23%,32%,29%,31%,50%,32%,33%,28%,28%
Net Profit+,"2,298","1,000",925,594,506,"1,040","1,046",788,"2,422","3,335","8,005","9,951"
EPS in Rs,15.81,8.21,8.02,6.15,5.82,9.24,7.49,6.30,19.30,25.37,55.02,72.31
Dividend Payout %,8%,4%,4%,6%,6%,10%,12%,14%,6%,5%,2%,2%
