Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,91,85,97,100,113,102,101,85,71,78,77,79,85
Expenses+,65,59,63,70,92,65,62,55,50,52,54,52,60
Operating Profit,25,26,34,30,21,37,38,30,21,25,23,27,26
OPM %,28%,30%,35%,30%,18%,36%,38%,35%,30%,32%,30%,34%,30%
Other Income+,1,0,0,0,0,0,0,0,0,0,0,0,0
Interest,5,4,6,8,10,7,6,5,5,7,8,8,9
Depreciation,2,2,2,2,3,3,3,3,3,2,2,2,2
Profit before tax,19,19,25,20,8,27,29,22,13,15,13,17,15
Tax %,25%,25%,23%,25%,24%,25%,25%,25%,25%,26%,26%,26%,25%
Net Profit+,14,15,19,15,6,20,22,16,10,12,9,12,11
EPS in Rs,3.13,3.16,4.13,3.23,1.24,4.29,4.68,3.46,2.15,2.46,2.02,2.62,2.32
Raw PDF,,,,,,,,,,,,,
