Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,370,376,388,432,458,463,501,503,538,371,506,624,680
Expenses+,303,306,314,348,368,368,390,394,418,298,392,491,552
Operating Profit,66,71,74,84,90,96,111,109,120,74,115,133,128
OPM %,18%,19%,19%,19%,20%,21%,22%,22%,22%,20%,23%,21%,19%
Other Income+,12,13,14,17,18,19,20,22,20,22,18,4,16
Interest,0,1,1,1,1,1,1,0,1,1,0,1,1
Depreciation,5,5,5,6,5,6,6,6,8,8,8,9,9
Profit before tax,73,79,83,95,102,108,124,125,132,87,125,127,134
Tax %,24%,22%,23%,28%,25%,25%,27%,26%,28%,26%,27%,28%,24%
Net Profit+,56,61,64,68,76,80,91,93,95,64,91,92,102
EPS in Rs,1.75,1.91,2.02,2.15,2.39,2.52,2.86,2.91,2.95,2.03,2.87,2.90,3.21
Raw PDF,,,,,,,,,,,,,
