Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,682","1,940","2,371","2,454","2,961","3,743","4,228","5,553","7,449","8,613","10,157","10,701"
Expenses+,"1,514","1,749","2,191","2,223","2,625","3,370","3,848","5,090","6,845","7,885","9,468","9,960"
Operating Profit,168,192,180,231,336,373,380,464,604,728,690,741
OPM %,10%,10%,8%,9%,11%,10%,9%,8%,8%,8%,7%,7%
Other Income+,23,47,67,47,30,58,28,102,71,-50,71,42
Interest,3,8,9,5,3,15,15,18,19,85,65,51
Depreciation,6,6,11,12,13,37,40,47,59,132,121,104
Profit before tax,182,225,226,260,349,379,352,500,597,461,574,627
Tax %,27%,30%,31%,26%,29%,27%,31%,25%,24%,33%,26%,26%
Net Profit+,133,159,157,192,249,277,244,376,452,308,425,464
EPS in Rs,4.77,5.66,5.57,6.87,8.89,9.88,8.70,13.42,16.12,11.00,15.14,16.56
Dividend Payout %,55%,60%,60%,57%,53%,76%,60%,58%,48%,103%,29%,25%
