Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,619,660,693,713,746,744,763,728,782,766,825,908,999
Expenses+,522,546,575,592,619,616,631,601,655,635,683,746,806
Operating Profit,96,114,118,121,127,127,133,127,127,131,142,162,193
OPM %,16%,17%,17%,17%,17%,17%,17%,17%,16%,17%,17%,18%,19%
Other Income+,4,0,1,1,0,0,4,7,10,12,12,-7,31
Interest,17,19,18,18,23,19,23,18,10,10,8,8,11
Depreciation,35,35,37,38,40,40,43,44,47,48,50,52,56
Profit before tax,49,61,64,67,65,69,71,71,81,85,95,95,157
Tax %,27%,26%,25%,27%,29%,27%,27%,22%,27%,26%,25%,27%,22%
Net Profit+,35,45,48,48,46,50,52,56,59,63,71,69,123
EPS in Rs,6.64,8.39,8.81,8.96,8.59,9.18,9.38,8.99,9.57,10.05,11.55,11.04,19.48
Raw PDF,,,,,,,,,,,,,
