Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"1,484","1,582","1,708","1,821","2,156","1,952","2,085","2,190","2,259","2,349","2,386","2,514","2,560"
Interest,667,739,821,910,948,985,"1,050","1,087","1,104","1,163","1,176","1,209","1,197"
Expenses+,300,382,375,351,524,402,436,462,368,559,515,509,544
Financing Profit,516,461,512,561,684,565,599,642,787,627,695,796,820
Financing Margin %,35%,29%,30%,31%,32%,29%,29%,29%,35%,27%,29%,32%,32%
Other Income+,58,8,2,7,-90,8,11,17,41,4,15,-51,20
Depreciation,41,39,44,48,53,48,53,58,63,56,60,63,67
Profit before tax,533,430,471,520,541,525,557,601,765,575,650,682,773
Tax %,23%,28%,30%,23%,28%,23%,27%,25%,28%,28%,24%,23%,25%
Net Profit+,509,429,435,506,472,435,436,455,553,475,488,541,554
EPS in Rs,38.99,33.77,32.89,38.47,24.11,39.14,39.26,41.00,49.77,42.77,43.94,48.73,49.88
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
