Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"19,913","18,149","17,620","16,772","16,525","17,068","17,100","16,725","17,838","20,969","23,109","24,803"
Expenses+,"16,919","15,714","15,214","14,359","13,780","13,779","12,840","12,498","13,520","16,739","18,540","19,980"
Operating Profit,"2,994","2,434","2,406","2,412","2,745","3,289","4,261","4,227","4,318","4,230","4,569","4,822"
OPM %,15%,13%,14%,14%,17%,19%,25%,25%,24%,20%,20%,19%
Other Income+,291,82,"1,294",-116,62,-321,82,338,440,47,"1,033",162
Interest,751,409,367,344,397,471,420,360,432,644,729,762
Depreciation,"2,161","1,864","1,866","1,906","2,068","2,358","2,314","2,205","2,262","2,470","2,592","2,827"
Profit before tax,373,243,"1,467",46,343,140,"1,609","2,000","2,063","1,163","2,281","1,396"
Tax %,99%,96%,16%,778%,80%,162%,22%,26%,14%,18%,21%,31%
Net Profit+,3,10,"1,235",-326,-80,-85,"1,252","1,485","1,801",970,"1,837",997
EPS in Rs,0.05,0.30,43.26,-11.53,-2.89,-3.02,43.88,51.99,63.02,33.98,64.43,35.14
Dividend Payout %,"12,151%","1,412%",14%,-39%,-156%,-133%,32%,40%,33%,49%,39%,50%
