Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"3,551","3,952","3,163","6,405","4,978","4,847","5,968","6,991","8,444","10,472","10,234","13,351"
Interest,"1,445","1,690","1,786","2,730","2,593","2,413","2,638","3,011","3,245","3,896","4,196","5,717"
Expenses+,"1,319","1,362",689,"2,221","1,435","1,682","2,239","2,355","2,936","3,842","4,559","5,037"
Financing Profit,787,900,689,"1,454",950,752,"1,090","1,625","2,263","2,734","1,479","2,596"
Financing Margin %,22%,23%,22%,23%,19%,16%,18%,23%,27%,26%,14%,19%
Other Income+,-4,8,375,61,212,79,20,32,2,18,-584,23
Depreciation,59,66,16,67,32,106,106,122,153,181,189,211
Profit before tax,724,843,"1,048","1,448","1,130",725,"1,005","1,536","2,113","2,572",707,"2,409"
Tax %,34%,34%,22%,30%,30%,31%,24%,23%,24%,23%,18%,25%
Net Profit+,476,555,822,"1,021",796,503,761,"1,188","1,608","1,974",578,"1,817"
EPS in Rs,12.98,14.53,19.42,22.42,22.40,11.94,18.06,28.16,35.49,41.60,8.92,39.05
Dividend Payout %,21%,26%,21%,20%,20%,17%,15%,11%,10%,9%,0%,10%
