Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,145.05,117.57,145.18,126.07,168.53,133.47,161.47,119.75,129.13,132.24,142.11,151.42,163.57
Expenses+,128.28,109.83,132.80,120.37,157.59,124.61,161.27,114.01,128.43,125.36,135.70,135.61,157.13
Operating Profit,16.77,7.74,12.38,5.70,10.94,8.86,0.20,5.74,0.70,6.88,6.41,15.81,6.44
OPM %,11.56%,6.58%,8.53%,4.52%,6.49%,6.64%,0.12%,4.79%,0.54%,5.20%,4.51%,10.44%,3.94%
Other Income+,1.15,1.22,1.00,3.49,2.28,0.98,11.99,1.56,3.17,0.96,11.09,-4.41,0.81
Interest,5.74,5.87,6.78,6.46,6.54,6.52,5.87,5.49,6.44,6.35,6.44,6.03,6.66
Depreciation,1.29,1.26,1.28,1.22,1.26,1.32,1.23,1.24,1.10,1.07,1.08,1.06,1.13
Profit before tax,10.89,1.83,5.32,1.51,5.42,2.00,5.09,0.57,-3.67,0.42,9.98,4.31,-0.54
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,3.50%,0.00%,0.00%,4.90%,0.00%,0.00%,4.87%,16.67%
Net Profit+,10.89,1.83,5.32,1.51,5.42,1.93,5.09,0.57,-3.85,0.42,9.98,4.10,-0.63
EPS in Rs,1.64,0.28,0.80,0.23,0.82,0.29,0.77,0.09,-0.58,0.06,1.50,0.62,-0.09
Raw PDF,,,,,,,,,,,,,
