Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"8,691","8,702","8,905","9,017","8,893","9,143","9,433","9,661","9,772","9,841","10,394","10,781","11,292"
Expenses+,"7,087","7,067","7,274","7,432","7,357","7,536","7,734","8,068","8,176","8,191","8,464","8,778","9,319"
Operating Profit,"1,604","1,636","1,631","1,585","1,536","1,606","1,699","1,593","1,596","1,649","1,930","2,003","1,973"
OPM %,18%,19%,18%,18%,17%,18%,18%,16%,16%,17%,19%,19%,17%
Other Income+,66,132,143,220,208,227,299,212,251,392,300,-363,237
Interest,44,46,47,61,68,72,70,69,67,72,69,69,65
Depreciation,182,185,208,199,227,235,241,264,251,243,282,266,264
Profit before tax,"1,444","1,536","1,519","1,545","1,448","1,526","1,687","1,472","1,529","1,726","1,879","1,305","1,881"
Tax %,23%,25%,24%,24%,24%,26%,26%,26%,26%,27%,26%,26%,26%
Net Profit+,"1,114","1,152","1,162","1,169","1,101","1,135","1,252","1,087","1,129","1,255","1,381",960,"1,387"
EPS in Rs,37.65,38.92,39.26,39.49,37.14,38.28,42.24,36.63,38.09,42.32,47.27,32.74,46.96
Raw PDF,,,,,,,,,,,,,
