Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,499","1,175","1,131","1,257","1,496","1,184",971,"1,316","1,715","1,152","1,192","1,066","1,085"
Expenses+,"1,199",969,886,"1,057","1,250","1,020",818,"1,112","1,413",963,980,861,931
Operating Profit,301,206,245,200,246,164,154,204,302,188,211,205,154
OPM %,20%,18%,22%,16%,16%,14%,16%,15%,18%,16%,18%,19%,14%
Other Income+,7,9,11,15,39,12,20,19,9,30,27,13,41
Interest,14,10,11,13,12,10,14,7,7,11,7,7,6
Depreciation,25,24,24,25,25,26,26,27,29,32,32,33,35
Profit before tax,268,181,221,178,248,140,134,188,276,176,199,177,154
Tax %,28%,25%,26%,25%,22%,25%,26%,29%,26%,28%,22%,24%,25%
Net Profit+,193,135,164,133,193,106,99,133,203,127,156,135,116
EPS in Rs,27.33,19.10,23.38,18.96,27.42,15.00,14.32,18.73,29.55,18.81,19.43,15.67,14.93
Raw PDF,,,,,,,,,,,,,
