Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,772,"1,080","1,923","2,751","2,450","2,358","3,626","4,298","4,178","7,106","8,340","9,374"
Expenses+,516,647,915,"1,357","1,543","1,546","1,610","2,178","2,301","3,024","3,794","5,504"
Operating Profit,256,432,"1,008","1,394",907,812,"2,016","2,120","1,877","4,082","4,546","3,870"
OPM %,33%,40%,52%,51%,37%,34%,56%,49%,45%,57%,55%,41%
Other Income+,1,1,-27,1,12,8,-80,18,19,71,78,42
Interest,31,174,442,528,517,494,430,475,596,"1,039","1,298","1,336"
Depreciation,31,35,33,37,24,40,48,48,58,83,99,111
Profit before tax,196,225,506,829,378,285,"1,458","1,616","1,242","3,032","3,226","2,465"
Tax %,27%,27%,28%,25%,25%,24%,18%,19%,25%,19%,22%,24%
Net Profit+,145,172,371,632,298,190,"1,265","1,312",935,"2,446","2,508","1,872"
EPS in Rs,2.56,2.97,6.23,10.72,5.04,3.10,21.49,21.97,15.74,40.96,41.74,31.06
Dividend Payout %,29%,29%,22%,20%,42%,32%,12%,11%,16%,9%,12%,19%
