Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,448","1,411","1,422","1,367","1,466","1,498","1,486","1,441","1,531","1,533","1,521","1,541","1,693"
Expenses+,"1,221","1,184","1,191","1,166","1,238","1,251","1,241","1,213","1,306","1,286","1,269","1,301","1,437"
Operating Profit,227,226,231,201,228,247,245,228,225,247,252,240,256
OPM %,16%,16%,16%,15%,16%,16%,16%,16%,15%,16%,17%,16%,15%
Other Income+,4,5,7,31,11,5,13,3,7,20,21,-1,27
Interest,13,10,7,7,8,7,9,8,10,9,11,8,10
Depreciation,50,52,54,54,53,54,56,56,58,59,60,57,60
Profit before tax,168,169,176,172,178,192,193,166,164,199,202,174,213
Tax %,24%,24%,24%,25%,25%,26%,26%,21%,24%,26%,24%,25%,24%
Net Profit+,127,129,133,129,134,143,144,131,124,148,153,131,161
EPS in Rs,6.01,6.07,6.28,6.12,6.36,6.75,6.78,6.20,5.92,7.06,7.18,6.21,7.68
Raw PDF,,,,,,,,,,,,,
