Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"12,264","11,048","11,267","11,550","11,978","11,006","11,278","11,233","12,275","11,196","11,476","12,395","11,666"
Expenses+,"1,433","1,716","1,557","1,375","2,055","1,466","1,681","1,700","2,081","2,094","2,421","1,788","6,363"
Operating Profit,"10,831","9,332","9,710","10,175","9,923","9,540","9,597","9,533","10,194","9,102","9,055","10,607","5,303"
OPM %,88%,84%,86%,88%,83%,87%,85%,85%,83%,81%,79%,86%,45%
Other Income+,294,209,263,380,389,302,814,552,366,461,712,463,322
Interest,"2,475","2,057","2,341","2,446","1,928","2,039","2,441","1,917","2,303","1,934","2,148","2,190","2,175"
Depreciation,"3,314","3,266","3,277","3,293","3,259","3,200","3,292","3,216","3,196","3,130","3,223","3,381","3,295"
Profit before tax,"5,335","4,218","4,355","4,816","5,125","4,603","4,678","4,952","5,062","4,499","4,395","5,497",155
Tax %,19%,15%,13%,16%,19%,19%,19%,22%,18%,19%,19%,24%,"-2,829%"
Net Profit+,"4,323","3,597","3,781","4,028","4,166","3,724","3,793","3,862","4,143","3,631","3,566","4,185","4,546"
EPS in Rs,4.65,3.87,4.07,4.33,4.48,4.00,4.08,4.15,4.45,3.90,3.83,4.50,4.89
Raw PDF,,,,,,,,,,,,,
