Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,849","5,128","5,846","5,694","6,707","6,852","5,299","5,804","6,402","7,409","7,613","7,648"
Expenses+,"1,631","2,461","2,789","3,005","3,763","3,887","2,947","3,229","3,271","4,387","4,141","3,666"
Operating Profit,"2,218","2,667","3,057","2,689","2,944","2,965","2,352","2,575","3,130","3,022","3,472","3,982"
OPM %,58%,52%,52%,47%,44%,43%,44%,44%,49%,41%,46%,52%
Other Income+,113,127,123,295,196,252,189,552,300,793,"6,222",163
Interest,937,"1,070","1,342",976,"1,126","1,574","1,697","1,894","1,521","1,868","1,795","1,755"
Depreciation,707,853,855,544,540,468,582,683,832,995,"1,038","1,142"
Profit before tax,686,870,984,"1,464","1,473","1,175",262,550,"1,077",951,"6,861","1,248"
Tax %,21%,26%,27%,37%,42%,39%,55%,34%,33%,36%,6%,32%
Net Profit+,542,640,715,920,850,721,117,361,720,606,"6,481",850
EPS in Rs,0.77,0.91,1.02,1.31,1.21,1.03,0.17,0.30,0.60,0.50,5.37,0.70
Dividend Payout %,26%,22%,25%,19%,10%,24%,0%,0%,17%,30%,3%,18%
